material_id,formula,utility_tier,predicted_latent_bandgap_eV,stage1_score,energy_above_hull,is_dark_matter
mp-1209229,RbHoBeF6,Tier 2 (Exotic),7.4006963,7.400696277618408,0.0,True
mp-1220948,NaPrF4,Tier 2 (Exotic),7.008854,7.008853912353516,0.0,True
mp-1185301,LiF,Tier 1 (Standard),7.5493636,6.996624386503054,0.024405554999999,True
mp-640562,KYb3F10,Tier 2 (Exotic),6.9413805,6.941380500793457,0.0,True
mp-1220915,NaSmF4,Tier 2 (Exotic),6.835549,6.8355488777160645,0.0,True
mp-1206981,BaYb2F8,Tier 2 (Exotic),6.6113276,6.611327648162842,0.0,True
mp-1208619,SrLiGaF6,Tier 1 (Standard),6.394299,6.394299030303955,0.0,True
mp-1196923,Li2TbF6,Tier 2 (Exotic),6.357351,6.063042249686406,0.015431405555554,True
mp-989568,Cs2NaMgF6,Tier 1 (Standard),5.9898567,5.989856719970703,0.0,True
mp-22072,YbF3,Tier 2 (Exotic),5.974185,5.974184989929199,0.0,True
mp-1205802,Rb2NaYbF6,Tier 2 (Exotic),5.9663863,5.966386318206787,0.0,True
mp-1227394,Be2BH3O5,Tier 1 (Standard),5.809689,5.808071318552447,9.281772727298693e-05,True
mp-989572,Cs2NaCaF6,Tier 1 (Standard),5.909048,5.73362688212046,0.009895626500001,True
mp-505089,Li4TbF8,Tier 2 (Exotic),5.9424896,5.7278759815764735,0.012038368653847,True
mp-1220684,NaYbF4,Tier 2 (Exotic),5.7208548,5.720854759216309,0.0,True
mp-1213968,CaMgPO4F,Tier 1 (Standard),5.735632,5.703257220944278,0.001881496937501,True
mp-530217,PrZr3F15,Tier 2 (Exotic),5.782828,5.651579463128169,0.007565409999999,True
mp-1182442,BO2F3,Tier 1 (Standard),5.4884086,5.48840856552124,0.0,True
mp-989574,Cs2NaSrF6,Tier 1 (Standard),5.803987,5.381081093135937,0.0242882425,True
mp-4179,YbPO4,Tier 2 (Exotic),5.292996,5.292995929718018,0.0,True
