material_id,formula,utility_tier,stage1_score,stage1_xgb_eV,stage2_xgb_eV,stage2_gnn_eV,disagreement_eV,agreement_class,finite_gap_consensus
mp-1209229,RbHoBeF6,Tier 2 (Exotic),7.400696277618408,7.4006963,7.400696277618408,7.326879501342773,-0.07381677627563477,agree,True
mp-1220948,NaPrF4,Tier 2 (Exotic),7.008853912353516,7.008854,7.008853912353516,6.919483661651611,-0.0893702507019043,agree,True
mp-1185301,LiF,Tier 1 (Standard),6.996624386503054,7.5493636,7.549363613128662,6.990076541900635,-0.5592870712280273,mild,True
mp-640562,KYb3F10,Tier 2 (Exotic),6.941380500793457,6.9413805,6.941380500793457,6.058586597442627,-0.8827939033508301,mild,True
mp-1220915,NaSmF4,Tier 2 (Exotic),6.8355488777160645,6.835549,6.8355488777160645,7.0034050941467285,0.16785621643066406,agree,True
mp-1206981,BaYb2F8,Tier 2 (Exotic),6.611327648162842,6.6113276,6.611327648162842,7.138264179229736,0.5269365310668945,mild,True
mp-1208619,SrLiGaF6,Tier 1 (Standard),6.394299030303955,6.394299,6.394299030303955,6.149119853973389,-0.2451791763305664,agree,True
mp-1196923,Li2TbF6,Tier 2 (Exotic),6.063042249686406,6.357351,6.357350826263428,7.470932960510254,1.1135821342468262,strong,True
mp-989568,Cs2NaMgF6,Tier 1 (Standard),5.989856719970703,5.9898567,5.989856719970703,6.463082313537598,0.47322559356689453,mild,True
mp-22072,YbF3,Tier 2 (Exotic),5.974184989929199,5.974185,5.974184989929199,6.9577155113220215,0.9835305213928223,mild,True
mp-1205802,Rb2NaYbF6,Tier 2 (Exotic),5.966386318206787,5.9663863,5.966386318206787,6.32008171081543,0.3536953926086426,mild,True
mp-1227394,Be2BH3O5,Tier 1 (Standard),5.808071318552447,5.809689,5.809689044952393,5.511647701263428,-0.29804134368896484,agree,True
mp-989572,Cs2NaCaF6,Tier 1 (Standard),5.73362688212046,5.909048,5.909048080444336,6.524552822113037,0.6155047416687012,mild,True
